sn,spp,mrca1,mrca2,position,source,,,
069,Aedes_Georgecraigius_epactius,Aedes_Georgecraigius_atropalpus,,4,S2017,,,
070,Aedes_Georgecraigius_fluviatilis,Aedes_Georgecraigius_atropalpus,,4,S2017,,,
071,Aedes_Geoskusea_baisasi,,,keep,S2017,,,
072,Aedes_Gymnometopa_mediovittatus,,,keep,S2017,,,
073,Aedes_Halaedes_ashworthi,,,keep,S2017,,,
074,Aedes_Halaedes_australis,,,keep,S2017,,,
075,Aedes_Halaedes_wardangensis,,,keep,S2017,,,
076,Aedes_Himalaius_gilli,,,keep,S2017,,,
077,Aedes_Howardina_fulvithorax,,,keep,S2017,,,
078,Aedes_Howardina_bahamensis,Aedes_Howardina_fulvithorax,,4,S2017,,,
079,Aedes_Howardina_allotecnon,Aedes_Howardina_fulvithorax,,3,genbank,,,
080,Aedes_Howardina_arborealis,Aedes_Howardina_fulvithorax,,3,genbank,,,
081,Aedes_Howardina_busckii,Aedes_Howardina_fulvithorax,,3,genbank,,,
082,Aedes_Howardina_cozumelensis,Aedes_Howardina_fulvithorax,,3,genbank,,,
083,Aedes_Howardina_guatemala,Aedes_Howardina_fulvithorax,,3,genbank,,,
084,Aedes_Howardina_guerrero,Aedes_Howardina_fulvithorax,,3,genbank,,,
085,Aedes_Howardina_lorraineae,Aedes_Howardina_fulvithorax,,3,genbank,,,
086,Aedes_Howardina_quadrivittatus,Aedes_Howardina_fulvithorax,,3,genbank,,,
087,Aedes_Howardina_spinosus,Aedes_Howardina_fulvithorax,,3,genbank,,,
088,Aedes_Hulecoeteomyia_bhutanensis,Aedes_Hulecoeteomyia_japonicus,Aedes_Hulecoeteomyia_koreicus,0,genbank,,,
089,Aedes_Hulecoeteomyia_chrysolineatus,Aedes_Hulecoeteomyia_koreicus,,4,S2017,,,
090,Aedes_Hulecoeteomyia_fluviatilis2,Aedes_Hulecoeteomyia_japonicus,Aedes_Hulecoeteomyia_koreicus,0,genbank,,,
091,Aedes_Hulecoeteomyia_formosensis,Aedes_Hulecoeteomyia_koreicus,,4,S2017,,,
092,Aedes_Hulecoeteomyia_harveyi,Aedes_Hulecoeteomyia_koreicus,,4,S2017,,,
093,Aedes_Hulecoeteomyia_japonicus,Aedes_Hulecoeteomyia_koreicus,,4,S2017,,,
094,Aedes_Hulecoeteomyia_koreicus,,,keep,S2017,,,
095,Aedes_Jarnellius_deserticola,,,keep,S2017,,,
096,Aedes_Jarnellius_monticola,,,keep,S2017,,,
097,Aedes_Jarnellius_sierrensis,,,keep,S2017,,,
098,Aedes_Jarnellius_varipalpus,,,keep,S2017,,,
099,Aedes_Kenknightia_dissimilis,,,keep,S2017,,,
100,Aedes_Kompia_purpureipes,,,keep,S2017,,,
101,Aedes_Lewnielsenius_muelleri,,,keep,S2017,,,
102,Aedes_Lorrainea_amesii,,,keep,S2017,,,
103,Aedes_Lorrainea_fumidus,,,keep,S2017,,,
104,Aedes_Luius_fengi,,,keep,S2017,,,
105,Aedes_Macleaya_macmillani,,,keep,S2017,,,
106,Aedes_Macleaya_spinosipes,Aedes_Macleaya_tremulus,Aedes_Macleaya_wattensis,0,S2023,,,
107,Aedes_Macleaya_tremulus,,,keep,S2017,,,
108,Aedes_Macleaya_wattensis,,,keep,S2017,,,
109,Aedes_MucidusMucidus_alternans,,,keep,S2017,,,
110,Aedes_MucidusMucidus_scatophagoides,Aedes_MucidusMucidus_sudanensis,Aedes_MucidusMucidus_alternans,0,genbank,,,
111,Aedes_MucidusMucidus_sudanensis,,,keep,S2017,,,
112,Aedes_MucidusPardomyia_aurantius,Opifex_Opifex_fuscus,Aedes_Ochlerotatus_procax,0,genbank,,,
113,Aedes_Neomelaniconion_albiradius,Aedes_Neomelaniconion_mcintoshi,,4,S2017,,,
114,Aedes_Neomelaniconion_aurovenatus,Aedes_Neomelaniconion_lineatopennis,Aedes_Neomelaniconion_mcintoshi,0,genbank,,,
115,Aedes_Neomelaniconion_belleci,Aedes_Neomelaniconion_mcintoshi,,4,S2017,,,
116,Aedes_Neomelaniconion_circumluteolus,Aedes_Neomelaniconion_mcintoshi,,4,S2017,,,
117,Aedes_Neomelaniconion_fontenillei,Aedes_Neomelaniconion_mcintoshi,,4,S2017,,,
118,Aedes_Neomelaniconion_lineatopennis,Aedes_Neomelaniconion_mcintoshi,,4,S2017,,,
119,Aedes_Neomelaniconion_mcintoshi,,,keep,S2017,,,
120,Aedes_Neomelaniconion_nigropterus,Aedes_Neomelaniconion_mcintoshi,,4,S2017,,,
121,Aedes_Neomelaniconion_palpalis,Aedes_Neomelaniconion_mcintoshi,,4,S2017,,,
122,Aedes_Neomelaniconion_sylvaticus,Aedes_Neomelaniconion_mcintoshi,,4,S2017,,,
123,Aedes_Neomelaniconion_unidentatus,Aedes_Neomelaniconion_lineatopennis,Aedes_Neomelaniconion_mcintoshi,0,genbank,,,
124,Aedes_Nyctomyia_pholeocola,,,keep,S2017,,,
125,Aedes_Ochlerotatus_aboriginis,Opifex_Opifex_fuscus,Aedes_Ochlerotatus_procax,0,genbank,,,
126,Aedes_Ochlerotatus_abserratus,,,keep,S2017,,,
127,Aedes_Ochlerotatus_albifasciatus,,,keep,S2017,,,
128,Aedes_Ochlerotatus_aloponotum,,,keep,S2017,,,
129,Aedes_Ochlerotatus_annulipes,,,keep,S2017,,,
130,Aedes_Ochlerotatus_antipodeus,Opifex_Opifex_fuscus,Aedes_Ochlerotatus_procax,0,genbank,,,
131,Aedes_Ochlerotatus_aurifer,,,keep,S2017,,,
