sn,spp,mrca1,mrca2,position,source,,,
309,Aedes_Tanakaius_togoi,Aedes_Tanakaius_savoryi,,4,S2017,,,
310,Armigeres_Armigeres_aureolineatus,Armigeres_Armigeres_kesseli,Armigeres_Armigeres_subalbatus,0,genbank,,,
311,Armigeres_Armigeres_durhami,,,keep,S2017,,,
312,Armigeres_Armigeres_kesseli,,,keep,S2017,,,
313,Armigeres_Armigeres_malayi,Armigeres_Armigeres_kesseli,,4,S2017,,,
314,Armigeres_Armigeres_obturbans,,,keep,S2017,,,
315,Armigeres_Armigeres_subalbatus,,,keep,S2017,,,
316,Armigeres_Leicesteria_flavus,,,keep,S2017,,,
317,Armigeres_Leicesteria_longipalpis,Armigeres_Leicesteria_flavus,,3,genbank,,,
318,Culex_Culex_quinquefasciatus,,,keep,S2017,,,
319,Eretmapodites_0_chrysogaster,Eretmapodites_0_quinquevittatus,,3,genbank,,,
320,Eretmapodites_0_intermedius,Eretmapodites_0_quinquevittatus,,3,genbank,,,
321,Eretmapodites_0_plioleucus,Eretmapodites_0_quinquevittatus,,3,genbank,,,
322,Eretmapodites_0_quinquevittatus,,,keep,S2017,,,
323,Eretmapodites_0_subsimplicipes,Eretmapodites_0_quinquevittatus,,3,genbank,,,
324,Haemagogus_Conopostegus_leucocelaenus,Haemagogus_Haemagogus_equinus,,4,S2017,,,
325,Haemagogus_Haemagogus_albomaculatus,Haemagogus_Haemagogus_janthinomys,Haemagogus_Haemagogus_equinus,0,genbank,,,
326,Haemagogus_Haemagogus_anastasionis,Haemagogus_Haemagogus_janthinomys,Haemagogus_Haemagogus_equinus,0,genbank,,,
327,Haemagogus_Haemagogus_celeste,Haemagogus_Haemagogus_janthinomys,Haemagogus_Haemagogus_equinus,0,genbank,,,
328,Haemagogus_Haemagogus_chalcospilans,Haemagogus_Haemagogus_janthinomys,Haemagogus_Haemagogus_equinus,0,genbank,,,
329,Haemagogus_Haemagogus_equinus,,,keep,S2017,,,
330,Haemagogus_Haemagogus_iridicolor,Haemagogus_Haemagogus_janthinomys,Haemagogus_Haemagogus_equinus,0,genbank,,,
331,Haemagogus_Haemagogus_janthinomys,Haemagogus_Haemagogus_equinus,,4,S2017,,,
332,Haemagogus_Haemagogus_mesodentatus,Haemagogus_Haemagogus_equinus,,4,S2017,,,
333,Haemagogus_Haemagogus_spegazzinii,Haemagogus_Haemagogus_janthinomys,Haemagogus_Haemagogus_equinus,0,genbank,,,
334,Haemagogus_Haemagogus_tropicalis,Haemagogus_Haemagogus_janthinomys,Haemagogus_Haemagogus_equinus,0,genbank,,,
335,Heizmannia_Heizmannia_chengi,,,keep,S2017,,,
336,Heizmannia_Heizmannia_lii,,,keep,S2017,,,
337,Heizmannia_Heizmannia_menglianensis,,,keep,S2017,,,
338,Heizmannia_Heizmannia_proxima,,,keep,S2017,,,
339,Heizmannia_Heizmannia_reidi,,,keep,S2017,,,
340,Heizmannia_Mattinglyia_discrepans,,,keep,S2017,,,
341,Opifex_Nothoskusea_chathamicus,Opifex_Opifex_fuscus,,3,genbank,,,
342,Opifex_Opifex_fuscus,,,keep,S2017,,,
343,Psorophora_Grabhamia_cingulata,,,keep,S2017,,,
344,Psorophora_Grabhamia_columbiae,,,keep,S2017,,,
345,Psorophora_Grabhamia_confinnis,,,keep,S2017,,,
346,Psorophora_Grabhamia_dimidiata,Psorophora_Grabhamia_columbiae,Psorophora_Grabhamia_insularius,0,genbank,,,
347,Psorophora_Grabhamia_discolor,Psorophora_Grabhamia_columbiae,Psorophora_Grabhamia_insularius,0,S2023,,,
348,Psorophora_Grabhamia_funiculus,Psorophora_Grabhamia_columbiae,Psorophora_Grabhamia_insularius,0,genbank,,,
349,Psorophora_Grabhamia_insularius,,,keep,S2017,,,
350,Psorophora_Grabhamia_jamaicensis,Psorophora_Grabhamia_columbiae,Psorophora_Grabhamia_insularius,0,S2023,,,
351,Psorophora_Grabhamia_paulli,Psorophora_Grabhamia_columbiae,Psorophora_Grabhamia_insularius,0,genbank,,,
352,Psorophora_Grabhamia_pygmaea,,,keep,S2017,,,
353,Psorophora_Grabhamia_signipennis,,,keep,S2017,,,
354,Psorophora_Grabhamia_toltecum,Psorophora_Grabhamia_columbiae,Psorophora_Grabhamia_insularius,0,S2023,,,
355,Psorophora_Grabhamia_varinervis,Psorophora_Grabhamia_columbiae,Psorophora_Grabhamia_insularius,0,genbank,,,
356,Psorophora_Jathinosoma_albigenu,Psorophora_Jathinosoma_horrida,Psorophora_Jathinosoma_ferox,0,S2023,,,
357,Psorophora_Jathinosoma_albipes,Psorophora_Jathinosoma_horrida,Psorophora_Jathinosoma_ferox,0,genbank,,,
358,Psorophora_Jathinosoma_cyanescens,,,keep,S2017,,,
359,Psorophora_Jathinosoma_ferox,,,keep,S2017,,,
360,Psorophora_Jathinosoma_horrida,,,keep,S2017,,,
361,Psorophora_Jathinosoma_longipalpus,,,keep,S2017,,,
362,Psorophora_Jathinosoma_mathesoni,Psorophora_Jathinosoma_horrida,Psorophora_Jathinosoma_ferox,0,S2023,,,
363,Psorophora_Jathinosoma_varipes,Psorophora_Jathinosoma_horrida,Psorophora_Jathinosoma_ferox,0,genbank,,,
364,Psorophora_Psorophora_ciliata,,,keep,S2017,,,
365,Psorophora_Psorophora_howardii,,,keep,S2017,,,
366,Psorophora_Psorophora_saeva,Psorophora_Psorophora_howardii,Psorophora_Psorophora_ciliata,0,S2023,,,
367,Udaya_0_subsimilis,,,keep,S2017,,,
368,Verrallina_Harbachius_nobukonis,,,keep,S2017,,,
369,Verrallina_Neomacleaya_atriisimilis,Verrallina_Neomacleaya_indica,Verrallina_Neomacleaya_pseudomediofasciata,0,genbank,,,
370,Verrallina_Neomacleaya_indica,Verrallina_Harbachius_nobukonis,,4,S2017,,,
371,Verrallina_Neomacleaya_pseudomediofasciata,Verrallina_Harbachius_nobukonis,,4,S2017,,,
372,Verrallina_Verrallina_butleri,Verrallina_Harbachius_nobukonis,,4,S2017,,,
373,Verrallina_Verrallina_carmenti,Verrallina_Verrallina_butleri,Verrallina_Verrallina_lugubris,0,S2023,,,
374,Verrallina_Verrallina_funerea,Verrallina_Verrallina_butleri,Verrallina_Verrallina_lugubris,0,S2023,,,
375,Verrallina_Verrallina_lineata,Verrallina_Verrallina_butleri,Verrallina_Verrallina_lugubris,0,S2023,,,
376,Verrallina_Verrallina_lugubris,Verrallina_Harbachius_nobukonis,,4,S2017,,,
377,Zeugnomyia_0_gracilis,,,keep,S2017,,,
